text,label
Technical Skills Web Technologies Angular JS HTML5 CSS3 SASS Bootstrap Jquery Javascript Software Brackets Visual Studio Photoshop Visual Studio Code Education Details January 2015 B E CSE Nagpur Maharashtra G H Raisoni College of Engineering October 2009 Photography Competition Click Nagpur Maharashtra Maharashtra State Board College Magazine OCEAN Web Designer Web Designer Trust Systems and Software Skill Details PHOTOSHOP Exprience 28 months BOOTSTRAP Exprience 6 months HTML5 Exprience 6 months JAVASCRIPT Exprience 6 months CSS3 Exprience Less than 1 year months Angular 4 Exprience Less than 1 year monthsCompany Details company Trust Systems and Software description Projects worked on 1 TrustBank CBS Project Description TrustBank CBS is a core banking solution by Trust Systems Roles and Responsibility Renovated complete UI to make it more modern user friendly maintainable and optimised for bank use Shared the UI structure and guidelines to be incorporated with development team of around 50 members Achieved the target of project completion in given time frame Made required graphics for the project in photoshop 2 Loan Bazar Loan Appraisal Project Description Loan Bazar is a MVC based application dedicated to creating and managing loan applications The goal of this application is to streamline the process of loan application and integrate with existing CBS Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 3 Capital Security Bond Application Project Description Capital Security Bond Application is a MVC based application which provided an online platform to purchase gold bond Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 4 SoftGST Project Description SoftGST Web Based Application is an ASP application to every tax payers and its vendors for generating the GSTR returns on the basis of sales purchase data additionally the application can do the reconciliation of GSTR 2 A with purchase register Roles and Responsibility Designed and developed the UI of Dashboard 5 Trust Analytica Project Description Trust Analytika is the mobile web app that shows bank asset liability income expenses Roles and Responsibility Designed and developed the landing page of the application Supported the developers in UI implementation 6 Website s Project Name 1 TSR Technology Services 2 Vidarbha Merchants Urban Co Op Bank 3 GISSS 4 Softtrust USA Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company www jalloshband com description Project Name 1 Jallosh Band www jalloshband com 2 An Endeavor Foundation Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company 10MagicalFingers description National and international client interaction Management of digital data,Web Designing
Education Details B C A Bachelor Computer Application Pune Maharashtra Pune University H S C Pune Maharashtra Pune University S S C Pune Maharashtra Pune University Web Designing and Developer php Developer Exposys Pvt Ltd Skill Details Company Details company Exposys Pvt Ltd description Technical Skills Web Development HTML5 CSS3 Bootstrap PHP Ajax Jquery JavaScript Database MySQL Development Tools Notepad Sublime Text2 Framework Codeigniter Server Apache tomcat Xampp Control Panel Operating Systems Windows company Exposys Pvt Ltd description Pune Augest 2017 to till date Project Details Project I Pragat Bharat System Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX Database Used My SQL Team size 1 Position Software Developer Synopsis This project aim is specially design for people It is used to collect information to diifernt sector Project II Go Ayur System Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX Database Used My SQL Team size 2 Position Software Developer Synopsis Go Ayurveda Panchakarma center is one of most traditionally well established professional and innovative providers of Classical Ayurvedic Health services and Kerala Panchakarma therapies Project III Vitsanindia System Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 2 Position Software Developer Synopsis Online Shooping through app This app is user friendly because there is a option for change language User can to find different categories products as there choice Project IV MahabaleshwarTours Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis In this system is to provide Online Registration Tour Package Information Ticket Booking Online Payment and Searching Facility for Customer and also Generate Different types of Report Project V Cityspaceindia Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Service provider website we provide different categories Project VI Fruitsbuddy Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Fruitbuddy is to manage the details of fruits Customer Order Transaction Payment It manages all the information about fruits Stocks Payment The project is totally built at administrative end and thus only the administrator is guaranteed the a ess The purpose of the project is to build an application program to reduce the manual work for managing the fruits Customer Stocks Order Project VII Totalcitee Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Real Estate web application has been created for helping you to sell properties through web based user interface Visitors on your website can view particular desired products using search engine facility Project VIII Golchha Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Service provider website we provide different categories,Web Designing
Technical Skills Web Technologies Angular JS HTML5 CSS3 SASS Bootstrap Jquery Javascript Software Brackets Visual Studio Photoshop Visual Studio Code Education Details January 2015 B E CSE Nagpur Maharashtra G H Raisoni College of Engineering October 2009 Photography Competition Click Nagpur Maharashtra Maharashtra State Board College Magazine OCEAN Web Designer Web Designer Trust Systems and Software Skill Details PHOTOSHOP Exprience 28 months BOOTSTRAP Exprience 6 months HTML5 Exprience 6 months JAVASCRIPT Exprience 6 months CSS3 Exprience Less than 1 year months Angular 4 Exprience Less than 1 year monthsCompany Details company Trust Systems and Software description Projects worked on 1 TrustBank CBS Project Description TrustBank CBS is a core banking solution by Trust Systems Roles and Responsibility Renovated complete UI to make it more modern user friendly maintainable and optimised for bank use Shared the UI structure and guidelines to be incorporated with development team of around 50 members Achieved the target of project completion in given time frame Made required graphics for the project in photoshop 2 Loan Bazar Loan Appraisal Project Description Loan Bazar is a MVC based application dedicated to creating and managing loan applications The goal of this application is to streamline the process of loan application and integrate with existing CBS Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 3 Capital Security Bond Application Project Description Capital Security Bond Application is a MVC based application which provided an online platform to purchase gold bond Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 4 SoftGST Project Description SoftGST Web Based Application is an ASP application to every tax payers and its vendors for generating the GSTR returns on the basis of sales purchase data additionally the application can do the reconciliation of GSTR 2 A with purchase register Roles and Responsibility Designed and developed the UI of Dashboard 5 Trust Analytica Project Description Trust Analytika is the mobile web app that shows bank asset liability income expenses Roles and Responsibility Designed and developed the landing page of the application Supported the developers in UI implementation 6 Website s Project Name 1 TSR Technology Services 2 Vidarbha Merchants Urban Co Op Bank 3 GISSS 4 Softtrust USA Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company www jalloshband com description Project Name 1 Jallosh Band www jalloshband com 2 An Endeavor Foundation Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company 10MagicalFingers description National and international client interaction Management of digital data,Web Designing
Education Details January 2016 B Sc Information Technology Mumbai Maharashtra University of Mumbai January 2012 HSC Allahabad Uttar Pradesh Allahabad university January 2010 SSC dot Net Allahabad Uttar Pradesh Allahabad university Web designer and Developer Trainer Web designer and Developer Skill Details Web design Exprience 12 months Php Exprience 12 monthsCompany Details company NetTech India description Working salary 12k PERSONAL INTEREST Listening to Music Surfing net Watching Movie Playing Cricket company EPI Center Academy description Working Salary Contract based company Aptech Charni Road description Salary Contract based,Web Designing
IT SKILLS Languages C Basic JAVA Basic Web Technologies HTML5 CSS3 Bootstrap JavaScript jQuery Corel Draw Photoshop Illustrator Databases MySQL5 0 IDE Tools Sublime Text Notepad Operating Systems Windows XP Windows 7Education Details September 2015 Bachelor of Engineer Information technology Nagpur Maharashtra Nagpur University May 2011 HSC Secondary Higher Secondary State Board of Secondary June 2009 SSC Secondary Higher Secondary Maharashtra State Board of Secondary Web and Graphics Designer Web and Graphics Designer Virtuous Media Point Pune Skill Details BOOTSTRAP Exprience 24 months HTML5 Exprience 24 months JAVASCRIPT Exprience 24 months jQuery Exprience 24 months COREL DRAW Exprience 24 months Adobe Photoshop Exprience 24 months Adobe Illustrator Exprience 12 months CSS3 Exprience 24 monthsCompany Details company Virtuous Media Point description company CNC Web World description Internship Program At e sense IT Solution pvt ltd Nagpur as a Web Designing and Developement Presented in Project Competition in Innovesta 15 of Priyadarshini Indira Gandhi College of Engineering Nagpur Presented in National Level Paper Presentation in TECH WAVE 2015 of S R M C E Nagpur company e sense IT Solution pvt ltd description Key Result Areas Designed websites solutions by studying information needs conferring with users and studying systems flow data usage and work processes Understood process requirements and provided use cases for business functional technical requirements Interacted with users for requirement gathering prepared functional specifications and low level design documents Participated in the Software Development Life cycle SDLC and Agile methodology right from requirement analysis Performed detailed design of modules along with their implementation and documentation integrated software modules Developed by other team members Highlights Developed various modules as per customer requirement and identified and fixed number of bugs related to code Database connectivity UI Defects and so on Analyzed and modified existing codes to incorporate a number of changes in the application user requirements wrote new codes as required Coded implemented and integrated complex programs using technologies such as HTML5 CSS3 JavaScript jQuery bootstrap Having good command on Graphics designing with effective ideas PROJECTS www nitka com Nagpur united corporation admin Mintmetrix com Tagline videos admin Smartbadge admin In all projects I have used technologies like HTML5 CSS3 Bootstrap JavaScript jQuery and text editor as sublime text www shreekiaspack co in www 3staragroproducts com www luckystationery co in used technologies like HTML5 CSS3 Bootstrap javascript and text editor as notepad Design various Logos Brochures Advertising Banners Visiting Cards Pamphlet Hoardings etc B E FINAL YEAR PROJECT Major Project Title WEB BASED DISEASE DIAGNOSIS EXPE SYSTEM Duration 1 Year Description In this project we provide a website in which doctor gives online consultation for particular disease System gives better suggestions for any health problems Mini Project Development SHOPPING MANAGEMENT SYSTEM Developed in C CURRICULUM EXTRA CURRICULUM ACTIVITIES company FACE IT description Co ordinator in project competition,Web Designing
Technical Skills Web Technologies Angular JS HTML5 CSS3 SASS Bootstrap Jquery Javascript Software Brackets Visual Studio Photoshop Visual Studio Code Education Details January 2015 B E CSE Nagpur Maharashtra G H Raisoni College of Engineering October 2009 Photography Competition Click Nagpur Maharashtra Maharashtra State Board College Magazine OCEAN Web Designer Web Designer Trust Systems and Software Skill Details PHOTOSHOP Exprience 28 months BOOTSTRAP Exprience 6 months HTML5 Exprience 6 months JAVASCRIPT Exprience 6 months CSS3 Exprience Less than 1 year months Angular 4 Exprience Less than 1 year monthsCompany Details company Trust Systems and Software description Projects worked on 1 TrustBank CBS Project Description TrustBank CBS is a core banking solution by Trust Systems Roles and Responsibility Renovated complete UI to make it more modern user friendly maintainable and optimised for bank use Shared the UI structure and guidelines to be incorporated with development team of around 50 members Achieved the target of project completion in given time frame Made required graphics for the project in photoshop 2 Loan Bazar Loan Appraisal Project Description Loan Bazar is a MVC based application dedicated to creating and managing loan applications The goal of this application is to streamline the process of loan application and integrate with existing CBS Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 3 Capital Security Bond Application Project Description Capital Security Bond Application is a MVC based application which provided an online platform to purchase gold bond Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 4 SoftGST Project Description SoftGST Web Based Application is an ASP application to every tax payers and its vendors for generating the GSTR returns on the basis of sales purchase data additionally the application can do the reconciliation of GSTR 2 A with purchase register Roles and Responsibility Designed and developed the UI of Dashboard 5 Trust Analytica Project Description Trust Analytika is the mobile web app that shows bank asset liability income expenses Roles and Responsibility Designed and developed the landing page of the application Supported the developers in UI implementation 6 Website s Project Name 1 TSR Technology Services 2 Vidarbha Merchants Urban Co Op Bank 3 GISSS 4 Softtrust USA Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company www jalloshband com description Project Name 1 Jallosh Band www jalloshband com 2 An Endeavor Foundation Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company 10MagicalFingers description National and international client interaction Management of digital data,Web Designing
Education Details B C A Bachelor Computer Application Pune Maharashtra Pune University H S C Pune Maharashtra Pune University S S C Pune Maharashtra Pune University Web Designing and Developer php Developer Exposys Pvt Ltd Skill Details Company Details company Exposys Pvt Ltd description Technical Skills Web Development HTML5 CSS3 Bootstrap PHP Ajax Jquery JavaScript Database MySQL Development Tools Notepad Sublime Text2 Framework Codeigniter Server Apache tomcat Xampp Control Panel Operating Systems Windows company Exposys Pvt Ltd description Pune Augest 2017 to till date Project Details Project I Pragat Bharat System Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX Database Used My SQL Team size 1 Position Software Developer Synopsis This project aim is specially design for people It is used to collect information to diifernt sector Project II Go Ayur System Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX Database Used My SQL Team size 2 Position Software Developer Synopsis Go Ayurveda Panchakarma center is one of most traditionally well established professional and innovative providers of Classical Ayurvedic Health services and Kerala Panchakarma therapies Project III Vitsanindia System Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 2 Position Software Developer Synopsis Online Shooping through app This app is user friendly because there is a option for change language User can to find different categories products as there choice Project IV MahabaleshwarTours Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis In this system is to provide Online Registration Tour Package Information Ticket Booking Online Payment and Searching Facility for Customer and also Generate Different types of Report Project V Cityspaceindia Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Service provider website we provide different categories Project VI Fruitsbuddy Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Fruitbuddy is to manage the details of fruits Customer Order Transaction Payment It manages all the information about fruits Stocks Payment The project is totally built at administrative end and thus only the administrator is guaranteed the a ess The purpose of the project is to build an application program to reduce the manual work for managing the fruits Customer Stocks Order Project VII Totalcitee Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Real Estate web application has been created for helping you to sell properties through web based user interface Visitors on your website can view particular desired products using search engine facility Project VIII Golchha Technologies Used HTML CSS BOOTSTRAP PHP JQUERY AJAX JAVA SCRIPT Database Used My SQL Team size 1 Position Software Developer Synopsis Service provider website we provide different categories,Web Designing
Technical Skills Web Technologies Angular JS HTML5 CSS3 SASS Bootstrap Jquery Javascript Software Brackets Visual Studio Photoshop Visual Studio Code Education Details January 2015 B E CSE Nagpur Maharashtra G H Raisoni College of Engineering October 2009 Photography Competition Click Nagpur Maharashtra Maharashtra State Board College Magazine OCEAN Web Designer Web Designer Trust Systems and Software Skill Details PHOTOSHOP Exprience 28 months BOOTSTRAP Exprience 6 months HTML5 Exprience 6 months JAVASCRIPT Exprience 6 months CSS3 Exprience Less than 1 year months Angular 4 Exprience Less than 1 year monthsCompany Details company Trust Systems and Software description Projects worked on 1 TrustBank CBS Project Description TrustBank CBS is a core banking solution by Trust Systems Roles and Responsibility Renovated complete UI to make it more modern user friendly maintainable and optimised for bank use Shared the UI structure and guidelines to be incorporated with development team of around 50 members Achieved the target of project completion in given time frame Made required graphics for the project in photoshop 2 Loan Bazar Loan Appraisal Project Description Loan Bazar is a MVC based application dedicated to creating and managing loan applications The goal of this application is to streamline the process of loan application and integrate with existing CBS Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 3 Capital Security Bond Application Project Description Capital Security Bond Application is a MVC based application which provided an online platform to purchase gold bond Roles and Responsibility Designed and developed modern and responsive UI of entire application and achieved the target in given time frame Made required graphics for the project in photoshop 4 SoftGST Project Description SoftGST Web Based Application is an ASP application to every tax payers and its vendors for generating the GSTR returns on the basis of sales purchase data additionally the application can do the reconciliation of GSTR 2 A with purchase register Roles and Responsibility Designed and developed the UI of Dashboard 5 Trust Analytica Project Description Trust Analytika is the mobile web app that shows bank asset liability income expenses Roles and Responsibility Designed and developed the landing page of the application Supported the developers in UI implementation 6 Website s Project Name 1 TSR Technology Services 2 Vidarbha Merchants Urban Co Op Bank 3 GISSS 4 Softtrust USA Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company www jalloshband com description Project Name 1 Jallosh Band www jalloshband com 2 An Endeavor Foundation Roles and Responsibility Communicated with clients to understand their requirement Made mocks for the website Designed and developed complete website and hosted them in stipulated time company 10MagicalFingers description National and international client interaction Management of digital data,Web Designing
Education Details January 2016 B Sc Information Technology Mumbai Maharashtra University of Mumbai January 2012 HSC Allahabad Uttar Pradesh Allahabad university January 2010 SSC dot Net Allahabad Uttar Pradesh Allahabad university Web designer and Developer Trainer Web designer and Developer Skill Details Web design Exprience 12 months Php Exprience 12 monthsCompany Details company NetTech India description Working salary 12k PERSONAL INTEREST Listening to Music Surfing net Watching Movie Playing Cricket company EPI Center Academy description Working Salary Contract based company Aptech Charni Road description Salary Contract based,Web Designing
IT SKILLS Languages C Basic JAVA Basic Web Technologies HTML5 CSS3 Bootstrap JavaScript jQuery Corel Draw Photoshop Illustrator Databases MySQL5 0 IDE Tools Sublime Text Notepad Operating Systems Windows XP Windows 7Education Details September 2015 Bachelor of Engineer Information technology Nagpur Maharashtra Nagpur University May 2011 HSC Secondary Higher Secondary State Board of Secondary June 2009 SSC Secondary Higher Secondary Maharashtra State Board of Secondary Web and Graphics Designer Web and Graphics Designer Virtuous Media Point Pune Skill Details BOOTSTRAP Exprience 24 months HTML5 Exprience 24 months JAVASCRIPT Exprience 24 months jQuery Exprience 24 months COREL DRAW Exprience 24 months Adobe Photoshop Exprience 24 months Adobe Illustrator Exprience 12 months CSS3 Exprience 24 monthsCompany Details company Virtuous Media Point description company CNC Web World description Internship Program At e sense IT Solution pvt ltd Nagpur as a Web Designing and Developement Presented in Project Competition in Innovesta 15 of Priyadarshini Indira Gandhi College of Engineering Nagpur Presented in National Level Paper Presentation in TECH WAVE 2015 of S R M C E Nagpur company e sense IT Solution pvt ltd description Key Result Areas Designed websites solutions by studying information needs conferring with users and studying systems flow data usage and work processes Understood process requirements and provided use cases for business functional technical requirements Interacted with users for requirement gathering prepared functional specifications and low level design documents Participated in the Software Development Life cycle SDLC and Agile methodology right from requirement analysis Performed detailed design of modules along with their implementation and documentation integrated software modules Developed by other team members Highlights Developed various modules as per customer requirement and identified and fixed number of bugs related to code Database connectivity UI Defects and so on Analyzed and modified existing codes to incorporate a number of changes in the application user requirements wrote new codes as required Coded implemented and integrated complex programs using technologies such as HTML5 CSS3 JavaScript jQuery bootstrap Having good command on Graphics designing with effective ideas PROJECTS www nitka com Nagpur united corporation admin Mintmetrix com Tagline videos admin Smartbadge admin In all projects I have used technologies like HTML5 CSS3 Bootstrap JavaScript jQuery and text editor as sublime text www shreekiaspack co in www 3staragroproducts com www luckystationery co in used technologies like HTML5 CSS3 Bootstrap javascript and text editor as notepad Design various Logos Brochures Advertising Banners Visiting Cards Pamphlet Hoardings etc B E FINAL YEAR PROJECT Major Project Title WEB BASED DISEASE DIAGNOSIS EXPE SYSTEM Duration 1 Year Description In this project we provide a website in which doctor gives online consultation for particular disease System gives better suggestions for any health problems Mini Project Development SHOPPING MANAGEMENT SYSTEM Developed in C CURRICULUM EXTRA CURRICULUM ACTIVITIES company FACE IT description Co ordinator in project competition,Web Designing
